"region";"kvartal";"Prisindeks for brukte boliger"
"Akershus uten Bærum";"2006K2";60.8
"Akershus uten Bærum";"2006K3";62.6
"Akershus uten Bærum";"2006K4";63.6
"Akershus uten Bærum";"2007K1";68.2
"Akershus uten Bærum";"2007K2";70.3
"Akershus uten Bærum";"2007K3";70.2
"Akershus uten Bærum";"2007K4";68.8
"Akershus uten Bærum";"2008K1";70.6
"Akershus uten Bærum";"2008K2";71.8
"Akershus uten Bærum";"2008K3";69.1
"Akershus uten Bærum";"2008K4";62.7
"Akershus uten Bærum";"2009K1";66.2
"Akershus uten Bærum";"2009K2";68.3
"Akershus uten Bærum";"2009K3";70.7
"Akershus uten Bærum";"2009K4";70.9
"Akershus uten Bærum";"2010K1";73.1
"Akershus uten Bærum";"2010K2";74.7
"Akershus uten Bærum";"2010K3";74.0
"Akershus uten Bærum";"2010K4";74.0
"Akershus uten Bærum";"2011K1";77.3
"Akershus uten Bærum";"2011K2";80.1
"Akershus uten Bærum";"2011K3";80.0
"Akershus uten Bærum";"2011K4";79.1
"Akershus uten Bærum";"2012K1";82.6
"Akershus uten Bærum";"2012K2";84.9
"Akershus uten Bærum";"2012K3";84.9
"Akershus uten Bærum";"2012K4";85.8
"Akershus uten Bærum";"2013K1";89.2
"Akershus uten Bærum";"2013K2";90.2
"Akershus uten Bærum";"2013K3";90.5
"Akershus uten Bærum";"2013K4";88.2
"Akershus uten Bærum";"2014K1";90.0
"Akershus uten Bærum";"2014K2";91.8
"Akershus uten Bærum";"2014K3";93.1
"Akershus uten Bærum";"2014K4";92.2
"Akershus uten Bærum";"2015K1";97.7
"Akershus uten Bærum";"2015K2";100.6
"Akershus uten Bærum";"2015K3";101.4
"Akershus uten Bærum";"2015K4";100.3
"Akershus uten Bærum";"2016K1";105.7
"Akershus uten Bærum";"2016K2";109.3
"Akershus uten Bærum";"2016K3";112.3
"Akershus uten Bærum";"2016K4";114.6
"Akershus uten Bærum";"2017K1";122.6
"Akershus uten Bærum";"2017K2";122.9
"Akershus uten Bærum";"2017K3";120.8
"Akershus uten Bærum";"2017K4";118.1
"Akershus uten Bærum";"2018K1";120.8
"Akershus uten Bærum";"2018K2";124.0
"Akershus uten Bærum";"2018K3";123.3
"Akershus uten Bærum";"2018K4";121.3
"Akershus uten Bærum";"2019K1";123.8
"Akershus uten Bærum";"2019K2";127.0
"Akershus uten Bærum";"2019K3";126.7
"Akershus uten Bærum";"2019K4";124.6
"Akershus uten Bærum";"2020K1";126.4
"Akershus uten Bærum";"2020K2";129.4
"Akershus uten Bærum";"2020K3";131.9
"Akershus uten Bærum";"2020K4";134.3
"Vestfold og Telemark og Viken uten Akershus";"1992K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1992K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1992K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1992K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1993K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1994K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1995K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1996K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1997K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1998K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K2";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K3";0.0
"Vestfold og Telemark og Viken uten Akershus";"1999K4";0.0
"Vestfold og Telemark og Viken uten Akershus";"2000K1";0.0
"Vestfold og Telemark og Viken uten Akershus";"2000K2";0.0
